Date,open,high,low,close,volume,dividends,stock splits,returns,vol_30d,vol_252d,sma_50,sma_200,regime
2017-04-27 00:00:00-04:00,20991.119140625,21005.80078125,20935.80078125,20981.330078125,305690000,0.0,0.0,0.00029750691994578915,0.08030084105914576,0.09639495487656226,20753.100859375,19376.01810546875,1
2017-04-28 00:00:00-04:00,20987.390625,20987.759765625,20926.75,20940.509765625,329990000,0.0,0.0,-0.0019455540877534316,0.08048110094498417,0.09563619614799046,20759.6738671875,19388.86005859375,1
2017-05-01 00:00:00-04:00,20962.73046875,20976.619140625,20898.380859375,20913.4609375,288160000,0.0,0.0,-0.0012916986466777747,0.0805228224798519,0.09557782594635197,20765.5476953125,19400.8953125,1
2017-05-02 00:00:00-04:00,20941.189453125,20960.919921875,20904.060546875,20949.890625,338810000,0.0,0.0,0.0017419253374115762,0.08066609220229609,0.09539743921389282,20772.0644921875,19413.06201171875,1
2017-05-03 00:00:00-04:00,20915.0,20972.740234375,20874.1796875,20957.900390625,310920000,0.0,0.0,0.0003823297108502821,0.07298331259762894,0.09501691118744347,20776.3625,19425.186259765625,1
2017-05-04 00:00:00-04:00,20987.830078125,20990.7890625,20847.94921875,20951.470703125,274720000,0.0,0.0,-0.00030679063170258036,0.07298163553584161,0.09481212718355557,20779.879921875,19437.148564453124,1
2017-05-05 00:00:00-04:00,20929.0390625,21006.939453125,20905.0,21006.939453125,260960000,0.0,0.0,0.002647487175767793,0.07321630295025286,0.09483200936086597,20783.8123046875,19449.208115234374,1
2017-05-08 00:00:00-04:00,20991.259765625,21017.890625,20971.05078125,21012.279296875,276150000,0.0,0.0,0.00025419427527340055,0.07248488343798934,0.09475548544326046,20787.6226953125,19461.683359375,1
2017-05-09 00:00:00-04:00,21022.279296875,21046.849609375,20938.0390625,20975.779296875,273000000,0.0,0.0,-0.001737079518328577,0.07233030272077805,0.09474956976512633,20790.3894921875,19473.7080078125,1
2017-05-10 00:00:00-04:00,20958.490234375,20976.279296875,20884.150390625,20943.109375,283340000,0.0,0.0,-0.0015575069422982812,0.06978972863720703,0.0940225617717531,20793.006875,19485.958251953125,1
2017-05-11 00:00:00-04:00,20925.720703125,20933.359375,20798.900390625,20919.419921875,287680000,0.0,0.0,-0.0011311335246750875,0.06956414898359545,0.09316466069743355,20789.0842578125,19498.1866015625,1
2017-05-12 00:00:00-04:00,20893.189453125,20916.099609375,20869.740234375,20896.609375,288500000,0.0,0.0,-0.0010904005445747655,0.06913231039396198,0.0931813357241171,20786.95703125,19510.308798828126,1
